airfoil,alpha,CL,CD
NACA0008,11.8,0.6878,0.14197
NACA0008,11.9,0.6885,0.14371
NACA0008,12.0,0.6894,0.14541
NACA0008,12.1,0.6905,0.14706
NACA0008,12.2,0.6918,0.14867
NACA0008,12.3,0.6932,0.15025
NACA0008,12.4,0.6947,0.1518
NACA0008,12.5,0.6965,0.15332
NACA0008,12.6,0.6984,0.15482
NACA0008,12.7,0.7006,0.1563
NACA0008,12.8,0.703,0.15776
NACA0008,12.9,0.7058,0.15921
NACA0008,13.0,0.7091,0.16067
NACA0008,13.1,0.7131,0.16213
NACA0008,13.2,0.7172,0.16362
NACA0008,13.3,0.7214,0.16529
NACA0008,13.5,0.2165,0.03885
NACA0008,13.6,0.2165,0.03956
NACA0008,13.7,0.2186,0.04043
NACA0008,13.8,0.2215,0.04135
NACA0008,13.9,0.2248,0.04227
NACA0008,14.0,0.2288,0.04322
NACA0008,14.1,0.2334,0.04422
NACA0008,14.2,0.2395,0.04535
NACA0008,14.3,0.733,0.18376
NACA0008,14.4,0.7322,0.18498
NACA0008,14.5,0.732,0.18626
NACA0008,14.6,0.7328,0.18767
NACA0008,14.7,0.7344,0.18919
NACA0008,14.8,0.7365,0.19073
NACA0008,14.9,0.7387,0.19228
NACA0008,15.0,0.741,0.19382
NACA0010,0.0,0.0,0.01005
NACA0010,0.1,0.0261,0.01004
NACA0010,0.2,0.0506,0.01002
NACA0010,0.3,0.0718,0.00999
NACA0010,0.4,0.0933,0.00995
NACA0010,0.5,0.1171,0.00989
NACA0010,0.6,0.1388,0.00983
NACA0010,0.7,0.1603,0.00976
NACA0010,0.8,0.1808,0.00968
NACA0010,0.9,0.1989,0.00963
NACA0010,1.0,0.2185,0.00954
NACA0010,1.1,0.2367,0.00946
NACA0010,1.2,0.2511,0.0094
NACA0010,1.3,0.2596,0.00935
NACA0010,1.4,0.2682,0.00931
NACA0010,1.5,0.2769,0.00928
NACA0010,1.6,0.2857,0.00926
NACA0010,1.7,0.2947,0.00926
NACA0010,1.8,0.3037,0.00926
NACA0010,1.9,0.313,0.00928
NACA0010,2.0,0.3222,0.00931
NACA0010,2.1,0.3316,0.00934
NACA0010,2.2,0.3411,0.00938
NACA0010,2.3,0.3504,0.00944
NACA0010,2.4,0.36,0.00949
NACA0010,2.5,0.3693,0.00956
NACA0010,2.6,0.3786,0.00964
NACA0010,2.7,0.3881,0.00971
NACA0010,2.8,0.3974,0.00981
NACA0010,2.9,0.4067,0.00991
NACA0010,3.0,0.4161,0.01
NACA0010,3.1,0.4252,0.01011
NACA0010,3.2,0.4344,0.01023
NACA0010,3.3,0.4437,0.01034
NACA0010,3.4,0.4528,0.01047
NACA0010,3.5,0.4617,0.01062
NACA0010,3.6,0.4708,0.01075
NACA0010,3.7,0.4799,0.0109
NACA0010,3.8,0.4888,0.01106
NACA0010,3.9,0.4976,0.01123
NACA0010,4.0,0.5064,0.01142
NACA0010,4.1,0.515,0.01163
NACA0010,4.2,0.5237,0.01184
NACA0010,4.3,0.5323,0.01207
NACA0010,4.4,0.5408,0.01231
NACA0010,4.5,0.5493,0.01257
NACA0010,4.6,0.5577,0.01285
NACA0010,4.7,0.566,0.01315
NACA0010,4.8,0.5744,0.01345
NACA0010,4.9,0.583,0.01373
NACA0010,5.0,0.5915,0.01403
NACA0010,5.1,0.5992,0.01442
NACA0010,5.2,0.6084,0.01464
NACA0010,5.3,0.616,0.01505
NACA0010,5.4,0.625,0.0153
NACA0010,5.5,0.6337,0.01557
NACA0010,5.6,0.6407,0.0161
NACA0010,5.7,0.6503,0.01626
NACA0010,5.8,0.6593,0.01649
NACA0010,5.9,0.6673,0.01687
NACA0010,6.0,0.6752,0.01736
NACA0010,6.1,0.6844,0.01763
NACA0010,6.2,0.6934,0.01794
NACA0010,6.3,0.7022,0.01827
NACA0010,6.4,0.7107,0.01868
NACA0010,6.5,0.7179,0.01953
NACA0010,6.6,0.7271,0.01995
NACA0010,6.7,0.7365,0.02033
NACA0010,6.8,0.7458,0.02075
NACA0010,6.9,0.755,0.02115
NACA0010,7.0,0.764,0.0215
NACA0010,7.1,0.7729,0.02185
NACA0010,7.2,0.7811,0.02246
NACA0010,7.3,0.7888,0.02351
NACA0010,7.4,0.7981,0.02379
NACA0010,7.5,0.8071,0.0243
NACA0010,7.6,0.8159,0.02487
NACA0010,7.7,0.8245,0.02548
NACA0010,7.8,0.833,0.02611
NACA0010,7.9,0.8413,0.02674
NACA0010,8.0,0.8494,0.02738
NACA0010,8.1,0.8573,0.02802
NACA0010,8.2,0.865,0.0287
NACA0010,8.3,0.8724,0.02945
NACA0010,8.4,0.8792,0.03039
NACA0010,8.5,0.8848,0.03167
NACA0010,8.6,0.8885,0.03339
NACA0010,8.7,0.8902,0.03542
NACA0010,8.8,0.8928,0.03695
NACA0010,8.9,0.8964,0.03804
NACA0010,9.0,0.8992,0.03927
NACA0010,9.1,0.9011,0.04062
NACA0010,9.2,0.9021,0.04208
NACA0010,9.3,0.9021,0.04363
NACA0010,9.4,0.9012,0.04526
NACA0010,9.5,0.8995,0.04697
NACA0010,9.6,0.8968,0.04878
NACA0010,9.7,0.8932,0.05073
NACA0010,9.9,0.8886,0.05407
NACA0010,10.0,0.8868,0.05521
NACA0010,10.1,0.883,0.05638
NACA0010,10.2,0.8776,0.05756
NACA0010,10.3,0.8714,0.05883
NACA0010,10.4,0.8644,0.06025
NACA0010,10.5,0.8558,0.06192
NACA0010,10.6,0.7469,0.08575
NACA0010,10.7,0.7334,0.09161
NACA0010,10.8,0.727,0.09503
NACA0010,10.9,0.7233,0.09763
NACA0010,11.0,0.721,0.09976
NACA0010,11.1,0.72,0.10127
NACA0010,11.2,0.6956,0.11609
NACA0010,11.3,0.6736,0.12161
NACA0010,11.4,0.6714,0.12385
NACA0010,11.5,0.6703,0.12589
NACA0010,11.6,0.6698,0.12781
NACA0010,11.7,0.6699,0.12963
NACA0010,11.8,0.6703,0.13138
NACA0010,11.9,0.6712,0.13305
NACA0010,12.0,0.6724,0.13465
NACA0010,12.1,0.674,0.13618
NACA0010,12.2,0.676,0.13766
NACA0010,12.3,0.6784,0.13908
NACA0010,12.4,0.6816,0.14033
NACA0010,12.5,0.6867,0.14124
NACA0010,12.6,0.6977,0.14119
NACA0010,12.7,0.6985,0.14441
NACA0010,12.8,0.6975,0.14651
NACA0010,12.9,0.696,0.14858
NACA0010,13.0,0.6926,0.15079
NACA0010,13.1,0.6872,0.15311
NACA0010,13.2,0.6816,0.15549
NACA0010,13.3,0.6803,0.1573
NACA0010,13.4,0.6813,0.15885
NACA0010,13.5,0.6832,0.16029
NACA0010,13.6,0.6854,0.16173
NACA0010,13.7,0.688,0.16309
NACA0010,13.8,0.6912,0.16436
NACA0010,13.9,0.6953,0.16555
NACA0010,14.0,0.701,0.16665
NACA0010,14.1,0.7074,0.16765
NACA0010,14.2,0.714,0.16901
NACA0010,14.3,0.7142,0.1726
NACA0010,14.4,0.715,0.17452
NACA0010,14.5,0.7158,0.17639
NACA0010,14.6,0.7156,0.1783
NACA0010,14.7,0.7151,0.18013
NACA0010,14.8,0.7136,0.18187
NACA0010,14.9,0.7092,0.18335
NACA0010,15.0,0.7079,0.18505
NACA0012,0.0,0.0,0.01021
NACA0012,0.1,0.0103,0.01019
NACA0012,0.2,0.027,0.01019
NACA0012,0.3,0.0413,0.01022
NACA0012,0.4,0.0536,0.01024
NACA0012,0.5,0.0644,0.01023
NACA0012,0.6,0.0812,0.01026
NACA0012,0.7,0.097,0.0103
NACA0012,0.8,0.1124,0.01033
NACA0012,0.9,0.1247,0.01036
NACA0012,1.0,0.1388,0.01039
NACA0012,1.1,0.1571,0.01042
NACA0012,1.2,0.1752,0.01046
NACA0012,1.3,0.1924,0.0105
NACA0012,1.4,0.2078,0.01055
NACA0012,1.5,0.2208,0.01059
NACA0012,1.6,0.2399,0.01063
NACA0012,1.7,0.2581,0.01067
NACA0012,1.8,0.2753,0.01072
NACA0012,1.9,0.2913,0.01076
NACA0012,2.0,0.3056,0.01084
NACA0012,2.1,0.3244,0.01086
NACA0012,2.2,0.3422,0.01092
NACA0012,2.3,0.3595,0.01096
NACA0012,2.4,0.3759,0.01103
NACA0012,2.5,0.3937,0.01107
NACA0012,2.6,0.4116,0.01111
NACA0012,2.7,0.4291,0.01118
NACA0012,2.8,0.4403,0.01121
NACA0012,2.9,0.4494,0.01127
NACA0012,3.0,0.4587,0.0113
NACA0012,3.1,0.4678,0.01137
NACA0012,3.2,0.477,0.01142
NACA0012,3.3,0.4861,0.01149
NACA0012,3.4,0.4953,0.01155
NACA0012,3.5,0.5044,0.01163
NACA0012,3.6,0.5135,0.01171
NACA0012,3.7,0.5225,0.0118
NACA0012,3.8,0.5315,0.01189
NACA0012,3.9,0.5403,0.012
NACA0012,4.0,0.5491,0.01209
NACA0012,4.1,0.5576,0.01222
NACA0012,4.2,0.5665,0.01232
NACA0012,4.3,0.5747,0.01248
NACA0012,4.4,0.5835,0.01258
NACA0012,4.5,0.5918,0.01273
NACA0012,4.6,0.6002,0.01287
NACA0012,4.7,0.6086,0.01303
NACA0012,4.8,0.6166,0.01321
NACA0012,4.9,0.625,0.01336
NACA0012,5.0,0.6328,0.01358
NACA0012,5.1,0.641,0.01374
NACA0012,5.2,0.6489,0.01395
NACA0012,5.3,0.6567,0.01417
NACA0012,5.4,0.6647,0.01437
NACA0012,5.5,0.6721,0.01463
NACA0012,5.6,0.6802,0.01483
NACA0012,5.7,0.6875,0.01511
NACA0012,5.8,0.6954,0.01534
NACA0012,5.9,0.7031,0.01558
NACA0012,6.0,0.7101,0.0159
NACA0012,6.1,0.7184,0.01608
NACA0012,6.2,0.7256,0.01637
NACA0012,6.3,0.7329,0.01668
NACA0012,6.4,0.7412,0.01687
NACA0012,6.5,0.7487,0.01713
NACA0012,6.6,0.7544,0.01763
NACA0012,6.7,0.763,0.01781
NACA0012,6.8,0.7711,0.01805
NACA0012,6.9,0.7789,0.01831
NACA0012,7.0,0.7859,0.01867
NACA0012,7.1,0.7918,0.01927
NACA0012,7.2,0.8003,0.01948
NACA0012,7.3,0.8085,0.01973
NACA0012,7.4,0.8165,0.01999
NACA0012,7.5,0.8242,0.02026
NACA0012,7.6,0.8313,0.02066
NACA0012,7.7,0.8376,0.02138
NACA0012,7.8,0.8462,0.02156
NACA0012,7.9,0.8545,0.02184
NACA0012,8.0,0.8626,0.02218
NACA0012,8.1,0.8706,0.02253
NACA0012,8.2,0.8786,0.02288
NACA0012,8.3,0.8863,0.02328
NACA0012,8.4,0.8937,0.02381
NACA0012,8.5,0.9006,0.02483
NACA0012,8.6,0.9085,0.02541
NACA0012,8.7,0.9166,0.02579
NACA0012,8.8,0.9245,0.02625
NACA0012,8.9,0.9323,0.02675
NACA0012,9.0,0.9399,0.02727
NACA0012,9.1,0.9473,0.02782
NACA0012,9.2,0.9545,0.02838
NACA0012,9.3,0.9617,0.02891
NACA0012,9.4,0.9687,0.0294
NACA0012,9.5,0.9757,0.02988
NACA0012,9.6,0.9824,0.03042
NACA0012,9.7,0.9884,0.03127
NACA0012,9.8,0.9907,0.03318
NACA0012,9.9,0.9958,0.0336
NACA0012,10.0,1.0009,0.03401
NACA0012,10.1,1.0056,0.03457
NACA0012,10.2,1.0097,0.03526
NACA0012,10.3,1.0132,0.03608
NACA0012,10.4,1.016,0.03695
NACA0012,10.5,1.0183,0.03785
NACA0012,10.6,1.02,0.03877
NACA0012,10.7,1.021,0.03972
NACA0012,10.8,1.0214,0.04068
NACA0012,10.9,1.021,0.04165
NACA0012,11.0,1.0192,0.0426
NACA0012,11.1,1.0167,0.04356
NACA0012,11.2,1.0137,0.04457
NACA0012,11.3,1.0102,0.04564
NACA0012,11.4,1.0064,0.04676
NACA0012,11.5,1.0021,0.04795
NACA0012,11.6,0.9973,0.04922
NACA0012,11.7,0.992,0.0506
NACA0012,11.8,0.986,0.05208
NACA0012,11.9,0.9793,0.05371
NACA0012,12.0,0.9717,0.05553
NACA0012,12.1,0.9628,0.05756
NACA0012,12.2,0.9525,0.05991
NACA0012,12.3,0.9401,0.0627
NACA0012,12.4,0.9249,0.06611
NACA0012,12.5,0.9055,0.07044
NACA0012,12.6,0.8808,0.0762
NACA0012,12.7,0.8458,0.0847
NACA0012,12.8,0.7878,0.09965
NACA0012,12.9,0.7535,0.11011
NACA0012,13.0,0.74,0.11539
NACA0012,13.1,0.7313,0.11943
NACA0012,13.2,0.7249,0.12289
NACA0012,13.3,0.7201,0.12599
NACA0012,13.4,0.7164,0.12877
NACA0012,13.5,0.7139,0.13124
NACA0012,13.8,0.6634,0.15613
NACA0012,13.9,0.6615,0.15822
NACA0012,14.0,0.6616,0.16002
NACA0012,14.1,0.6625,0.1617
NACA0012,14.2,0.6641,0.16328
NACA0012,14.3,0.6661,0.16478
NACA0012,14.4,0.6685,0.16621
NACA0012,14.5,0.6713,0.16757
NACA0012,14.6,0.6747,0.16887
NACA0012,14.7,0.6785,0.17012
NACA0012,14.8,0.6829,0.17133
NACA0012,14.9,0.6879,0.17253
NACA0012,15.0,0.6929,0.17372
NACA0014,0.0,0.0,0.01051
NACA0014,0.1,0.011,0.01054
NACA0014,0.2,0.0221,0.01055
NACA0014,0.3,0.0328,0.01056
NACA0014,0.4,0.0436,0.01058
NACA0014,0.5,0.0554,0.01063
NACA0014,0.6,0.0669,0.01067
NACA0014,0.7,0.077,0.0107
NACA0014,0.8,0.0884,0.01074
NACA0014,0.9,0.1014,0.01081
NACA0014,1.0,0.114,0.01089
NACA0014,1.1,0.1239,0.01094
NACA0014,1.2,0.1351,0.01099
NACA0014,1.3,0.15,0.01109
NACA0014,1.4,0.1641,0.01117
NACA0014,1.5,0.1769,0.01125
NACA0014,1.6,0.186,0.01133
NACA0014,1.7,0.2012,0.0114
NACA0014,1.8,0.2177,0.0115
NACA0014,1.9,0.2339,0.01162
NACA0014,2.0,0.2494,0.0117
NACA0014,2.1,0.2626,0.01178
NACA0014,2.2,0.2739,0.01188
NACA0014,2.3,0.2928,0.01195
NACA0014,2.4,0.3115,0.01206
NACA0014,2.5,0.3298,0.01214
NACA0014,2.6,0.347,0.01223
NACA0014,2.7,0.3622,0.01234
NACA0014,2.8,0.373,0.0124
NACA0014,2.9,0.3919,0.01249
NACA0014,3.0,0.4106,0.01256
NACA0014,3.1,0.4285,0.01264
NACA0014,3.2,0.4452,0.01274
NACA0014,3.3,0.4609,0.0128
NACA0014,3.4,0.4745,0.01292
NACA0014,3.5,0.4935,0.01297
NACA0014,3.6,0.5114,0.01306
NACA0014,3.7,0.5288,0.01313
NACA0014,3.8,0.5453,0.01321
NACA0014,3.9,0.5612,0.01332
NACA0014,4.0,0.5794,0.01338
NACA0014,4.1,0.597,0.01347
NACA0014,4.2,0.6146,0.01354
NACA0014,4.3,0.6258,0.01366
NACA0014,4.4,0.6344,0.01369
NACA0014,4.5,0.6424,0.0138
NACA0014,4.6,0.6506,0.01387
NACA0014,4.7,0.6588,0.01395
NACA0014,4.9,0.675,0.01415
NACA0014,5.0,0.6828,0.01427
NACA0014,5.1,0.6906,0.0144
NACA0014,5.2,0.6987,0.01449
NACA0014,5.3,0.7058,0.01467
NACA0014,5.4,0.7139,0.01476
NACA0014,5.5,0.7212,0.01491
NACA0014,5.6,0.7283,0.01509
NACA0014,5.7,0.736,0.0152
NACA0014,5.8,0.7428,0.0154
NACA0014,5.9,0.75,0.01556
NACA0014,6.0,0.7574,0.01571
NACA0014,6.1,0.7636,0.01594
NACA0014,6.2,0.7709,0.0161
NACA0014,6.3,0.778,0.01626
NACA0014,6.4,0.7839,0.01652
NACA0014,6.5,0.791,0.0167
NACA0014,6.6,0.798,0.01686
NACA0014,6.7,0.8039,0.01711
NACA0014,6.8,0.81,0.01737
NACA0014,6.9,0.8173,0.01753
NACA0014,7.0,0.8238,0.01774
NACA0014,7.1,0.8292,0.01804
NACA0014,7.2,0.8351,0.01834
NACA0014,7.3,0.8422,0.01851
NACA0014,7.4,0.8489,0.01872
NACA0014,7.5,0.8548,0.01898
NACA0014,7.6,0.8594,0.01939
NACA0014,7.7,0.8662,0.01963
NACA0014,7.8,0.8732,0.01981
NACA0014,7.9,0.8798,0.02002
NACA0014,8.0,0.8859,0.02026
NACA0014,8.1,0.891,0.02063
NACA0014,8.2,0.8962,0.02109
NACA0014,8.3,0.9033,0.02127
NACA0014,8.4,0.91,0.02151
NACA0014,8.5,0.9164,0.02177
NACA0014,8.6,0.9227,0.02204
NACA0014,8.7,0.9287,0.02235
NACA0014,8.8,0.9341,0.02277
NACA0014,8.9,0.9394,0.02351
NACA0014,9.0,0.9464,0.02374
NACA0014,9.1,0.9532,0.02402
NACA0014,9.2,0.96,0.02434
NACA0014,9.3,0.9666,0.02468
NACA0014,9.4,0.973,0.02501
NACA0014,9.5,0.9794,0.02534
NACA0014,9.6,0.9855,0.02568
NACA0014,9.7,0.9913,0.0261
NACA0014,9.8,0.9974,0.02685
NACA0014,9.9,1.0036,0.02752
NACA0014,10.0,1.0096,0.02779
NACA0014,10.1,1.0153,0.02811
NACA0014,10.2,1.0208,0.02847
NACA0014,10.3,1.0263,0.02884
NACA0014,10.4,1.0316,0.02924
NACA0014,10.5,1.0369,0.02966
